address,property_type,bedrooms,bathrooms,parking_spaces,auction,auction_date,auction_time,price,Agent Details
"25/2-4 Maida Road, Epping, NSW 2121",Apartment,2,2,1,False,,,"$725,000 - $755,000","{'name': 'Robert Younis', 'rating': '5.0', 'reviews': '(61 reviews)', 'phone': '0402995597', 'address': 'Suite 6, 734-736 Victoria Road, RYDE, NSW 2112'}"
"20A Wycombe Street, Epping, NSW 2121",House,4,2,2,False,,,"Price Guide: $2,000,000-$2,200,000","{'name': 'Andy (Chen) Wang', 'rating': '5.0', 'reviews': '(No reviews yet)', 'phone': '0420348842', 'address': 'Shop 3&4, 821 Pennant Hills Road, CARLINGFORD, NSW 2118'}"
"402/20-24 Epping Road, Epping, NSW 2121",Apartment,1,1,1,False,,,Contact Agent,"{'name': 'Laura (King Chi) Tam', 'rating': '5.0', 'reviews': '(5 reviews)', 'phone': '0423468357', 'address': '170 Victoria Ave, CHATSWOOD, NSW 2067'}"
"113/1 Cliff Road, Epping, NSW 2121",Apartment,2,2,1,False,,,Contact Agent,"{'name': 'Kris Yu', 'rating': '5.0', 'reviews': '(89 reviews)', 'phone': '0466713288', 'address': '15 Bridge Street, EPPING, NSW 2121'}"
"31/13 Carlingford Road, Epping, NSW 2121",Unit,2,1,1,True,Saturday 29 June,9:45 am,"Price Guide $775,000","{'name': 'Teena Vaughan', 'rating': '5.0', 'reviews': '(148 reviews)', 'phone': '0424166252', 'address': 'Ground Floor, 3 Carlingford Road, EPPING, NSW 2121'}"
"44 Somerset Street, Epping, NSW 2121",House,5,2,2,True,Saturday 29 June,2:15 pm,"Price Guide $1,900,000","{'name': 'Teena Vaughan', 'rating': '5.0', 'reviews': '(148 reviews)', 'phone': '0424166252', 'address': 'Ground Floor, 3 Carlingford Road, EPPING, NSW 2121'}"
"201/31 Forest Grove, Epping, NSW 2121",Apartment,1,1,1,False,,,JUST LISTED!,"{'name': 'Jay Jay Xu', 'rating': '5.0', 'reviews': '(14 reviews)', 'phone': '0477188999', 'address': 'Shop 2/72, Archer Street, CHATSWOOD, NSW 2067'}"
"308/28 Carlingford Road, Epping, NSW 2121",Apartment,2,2,1,False,,,Contact Agent,"{'name': 'Teresa Zeng', 'reviews': '(No reviews yet)', 'phone': '0434258799', 'address': '84 RIDER BLV, RHODES, NSW 2138'}"
"701/26 Cambridge Street, Epping, NSW 2121",Apartment,2,1,1,False,,,For Sale,"{'name': 'Kris Yu', 'rating': '5.0', 'reviews': '(89 reviews)', 'phone': '0466713288', 'address': '15 Bridge Street, EPPING, NSW 2121'}"
"503/22 Langston Place, Epping, NSW 2121",Apartment,2,2,1,False,,,Contact Agent,"{'reviews': '(No reviews yet)', 'phone': '0431172959', 'address': '35D Burwood Road, BURWOOD, NSW 2134'}"
"1503/26 Cambridge Street, Epping, NSW 2121",Apartment,1,1,,False,,,"$530,000 - $550,000","{'name': 'Sofia Tianzhuo Qu', 'rating': '5.0', 'reviews': '(24 reviews)', 'phone': '0433566688', 'address': 'Shop 12/101 Waterloo Road, MACQUARIE PARK, NSW 2113'}"
"79 Carlingford Road, Epping, NSW 2121",House,5,3,2,True,Saturday 15 June,11:15 am,Auction:15th Jun at 11:15am(If Not Sold Prior),"{'name': 'Tracy Yap', 'rating': '5.0', 'reviews': '(56 reviews)', 'phone': '0412185032', 'address': '10 Oxford Street, EPPING, NSW 2121'}"
"1/10 Essex Street, Epping, NSW 2121",Unit,2,1,1,False,,,"For Sale: $690,000 - $710,000","{'name': 'Chris Khoudair', 'rating': '5.0', 'reviews': '(59 reviews)', 'phone': '0405122331', 'address': '100 Yarrara Road, PENNANT HILLS, NSW 2120'}"
"701/12 Bridge Street, Epping, NSW 2121",Apartment,4,3,2,False,,,COMPLETION SOON,"{'phone': '1800989317', 'address': 'Explore 4 properties in Ellery'}"
"204/12 Bridge Street, Epping, NSW 2121",Apartment,2,2,1,False,,,COMPLETION SOON,"{'phone': '1800989317', 'address': 'Explore 4 properties in Ellery'}"
"306/12 Bridge Street, Epping, NSW 2121",Apartment,2,2,1,False,,,COMPLETION SOON,"{'phone': '0294132360', 'address': 'Explore 4 properties in Ellery'}"
"403/12 Bridge Street, Epping, NSW 2121",Apartment,1,1,,False,,,COMPLETION SOON,"{'phone': '1800989317', 'address': 'Explore 4 properties in Ellery'}"
"37 Oxford Street, Epping, NSW 2121",Apartment,3,2,2,False,,,"From $1,530,000 to $1,750,000","{'phone': '0402763362', 'address': 'Explore 4 properties in Cielo'}"
"37 Oxford Street, Epping, NSW 2121",Apartment,2,2,1,False,,,"From $975,000 to $1,385,000","{'phone': '0402763362', 'address': 'Explore 4 properties in Cielo'}"
"37 Oxford Street, Epping, NSW 2121",Apartment,2,1,1,False,,,"From $960,000 to $1,085,000","{'phone': '0402763362', 'address': 'Explore 4 properties in Cielo'}"
"37 Oxford Street, Epping, NSW 2121",Apartment,1,1,,False,,,"From $660,000 to $785,000","{'phone': '0402763362', 'address': 'Explore 4 properties in Cielo'}"
"11/32 Essex Street, Epping, NSW 2121",Apartment,1,1,1,False,,,"$625,000 to $645,000","{'name': 'Margot Brattoli', 'rating': '5.0', 'reviews': '(2 reviews)', 'phone': '0416174420', 'address': '833 Pennant Hills Rd, CARLINGFORD, NSW 2118'}"
"254/7 Epping Park Drive, Epping, NSW 2121",Apartment,2,2,1,False,,,Contact Agent,"{'name': 'Jason Wang', 'rating': '5.0', 'reviews': '(5 reviews)', 'phone': '0425707888', 'address': '24 Juliana Crescent, BAULKHAM HILLS, NSW 2153'}"
"33 Ross Street, Epping, NSW 2121",Duplex/Semi-detached,5,3,2,True,Thursday 20 June,6:30 pm,"Auction Guide $2,000,000","{'name': 'Andy Lin', 'rating': '5.0', 'reviews': '(235 reviews)', 'phone': '0433433093', 'address': '15 Bridge Street, EPPING, NSW 2121'}"
"611/26 Cambridge Street, Epping, NSW 2121",Apartment,2,2,1,False,,,Expressions of Interest,"{'name': 'Wenting Shi', 'rating': '5.0', 'reviews': '(4 reviews)', 'phone': '0423557268', 'address': '10 Oxford Street, EPPING, NSW 2121'}"
"63 Midson Road, Epping, NSW 2121",Duplex/Semi-detached,5,4,2,False,,,Contact Agent,"{'name': 'Annie Zeng', 'rating': '5.0', 'reviews': '(66 reviews)', 'phone': '0416822502', 'address': '15 Bridge Street, EPPING, NSW 2121'}"
"Address available on request, Epping, NSW 2121",Apartment,2,2,1,False,,,CONTACT AGENT,"{'name': 'Tim', 'rating': '5.0', 'reviews': '(119 reviews)', 'phone': '0414877365', 'address': 'PO BOX 3021, RHODES, NSW 2138'}"
"305/32 Cliff Road, Epping, NSW 2121",Apartment,2,2,1,False,,,Price revised || Must sold,"{'name': 'Zoe Yu', 'rating': '4.0', 'reviews': '(No reviews yet)', 'phone': '0451168287', 'address': 'Shop 6A 106 Princes Hwy, ARNCLIFFE, NSW 2205'}"
"103/18-22 Maida Road, Epping, NSW 2121",Apartment,2,2,1,True,Wednesday 12 June,6:30 pm,Auction (if not sold prior),"{'name': 'Cayla Yeoh', 'rating': '5.0', 'reviews': '(9 reviews)', 'phone': '0492228889', 'address': 'Ground Floor, 51 Rawson Street, EPPING, NSW 2121'}"
"1202/35 Oxford Street, Epping, NSW 2121",Unit,1,1,1,False,,,"$599,000","{'name': 'Danielle Jenkins', 'rating': '5.0', 'reviews': '(20 reviews)', 'phone': '0459341200', 'address': '1, 41 Rawson Street, EPPING, NSW 2121'}"
"33/42C Kent Street, Epping, NSW 2121",Apartment,2,2,1,False,,,Contact Agent,"{'name': 'Andy Haisheng Shi', 'rating': '5.0', 'reviews': '(45 reviews)', 'phone': '0433581815', 'address': '8A/1-5 Harrow Road, AUBURN, NSW 2144'}"
"12/40-42 Stanley Road, Epping, NSW 2121",Villa,3,2,1,True,Saturday 8 June,3:00 pm,Auction This Saturday,"{'name': 'Daniel Lee', 'rating': '5.0', 'reviews': '(87 reviews)', 'phone': '0403020462', 'address': '2 Bridge Street, EPPING, NSW 2121'}"
"11/717 Blaxland Road, Epping, NSW 2121",Apartment,2,1,1,False,,,"$800,000 - $830,000","{'name': 'Gavin McCutcheon', 'reviews': '(No reviews yet)', 'phone': '0413686969', 'address': '134 Shaftsbury Road, EASTWOOD, NSW 2122'}"
"152 Pennant Parade, Epping, NSW 2121",House,5,3,2,True,Saturday 8 June,10:15 am,Auction: 8th June at 10.15am(Unless Sold Prior),"{'name': 'Tracy Yap', 'rating': '5.0', 'reviews': '(56 reviews)', 'phone': '0412185032', 'address': '10 Oxford Street, EPPING, NSW 2121'}"
"17A Cumberland Street, Epping, NSW 2121",Duplex/Semi-detached,5,3,2,True,Saturday 8 June,1:00 pm,Auction this Sat 8th Jun 1pm,"{'name': 'Andy Lin', 'rating': '5.0', 'reviews': '(235 reviews)', 'phone': '0433433093', 'address': '15 Bridge Street, EPPING, NSW 2121'}"
"25/9 Crandon Road, Epping, NSW 2121",Apartment,2,2,1,False,,,"Guide: $750,000","{'name': 'Vince Shilong Liu', 'rating': '5.0', 'reviews': '(24 reviews)', 'phone': '0451169566', 'address': 'Shop 12/101 Waterloo Road, MACQUARIE PARK, NSW 2113'}"
"55 Dunlop Street, Epping, NSW 2121",House,5,3,4,True,Sunday 23 June,2:00 pm,Auction,"{'name': 'Andy Lin', 'rating': '5.0', 'reviews': '(235 reviews)', 'phone': '0433433093', 'address': '15 Bridge Street, EPPING, NSW 2121'}"
"301/2 Chester Street, Epping, NSW 2121",Apartment,1,1,,False,,,Contact Agent,"{'name': 'Nancy Yang', 'rating': '5.0', 'reviews': '(53 reviews)', 'phone': '0412820398', 'address': '2/6-8 Old Castle Hill Road, CASTLE HILL, NSW 2154'}"
"307/24 Carlingford Road, Epping, NSW 2121",Apartment,2,2,1,False,,,For Sale - Contact Agent,"{'name': 'Yin Ho Wong', 'reviews': '(No reviews yet)', 'phone': '0451789376', 'address': 'Suite 405, 161 Redfern Street, REDFERN, NSW 2016'}"
"4/38 Cambridge Street, Epping, NSW 2121",Unit,2,1,,False,,,"FOR SALE $635,000 - $655,000","{'name': 'Peter Horozakis', 'rating': '5.0', 'reviews': '(5 reviews)', 'phone': '0402870202', 'address': '111G Midson Road (Entry via Boronia Avenue), EPPING, NSW 2121'}"
"28B Carlingford Road, Epping, NSW 2121",Apartment,2,2,1,False,,,Contact Agent,"{'name': 'Fan Li', 'rating': '5.0', 'reviews': '(54 reviews)', 'phone': '0488666860', 'address': 'C53/24-32 Lexington Drive, BELLA VISTA, NSW 2153'}"
"10/1 Kandy Avenue, Epping, NSW 2121",Apartment,2,2,1,False,,,"For Sale $680,000 - $720,000","{'name': 'Crystal Li', 'rating': '5.0', 'reviews': '(45 reviews)', 'phone': '0401784849', 'address': '30 High Street, EPPING, NSW 2121'}"
"570/5 Epping Park Drive, Epping, NSW 2121",Apartment,2,2,2,True,Sunday 23 June,11:00 am,Auction: 23rd June at 11am(Unless Sold Prior),"{'name': 'Mina Lee', 'rating': '5.0', 'reviews': '(7 reviews)', 'phone': '0478786221', 'address': '10 Oxford Street, EPPING, NSW 2121'}"
"402/32 - 34 Ferntree Place, Epping, NSW 2121",Apartment,1,1,1,False,,,$600k,"{'name': 'BOWEN ZHENG', 'reviews': '(No reviews yet)', 'phone': '0425896898', 'address': '2607 / 393 Pitt St, SYDNEY, NSW 2000'}"
"29 Hermington Street, Epping, NSW 2121",Duplex/Semi-detached,5,3,1,True,Saturday 22 June,11:15 am,Auction,"{'name': 'Juliet (Jiangmin) Chen', 'rating': '5.0', 'reviews': '(19 reviews)', 'phone': '0408997997', 'address': 'G01/35 Oxford Street, EPPING, NSW 2121'}"
"25/43-45 Kent Street, Epping, NSW 2121",Retirement Living,1,1,,False,,,"Priced from $245,000*","{'phone': '0478668149', 'address': 'Explore 3 properties in Epping Manor'}"
"27/43-45 Kent Street, Epping, NSW 2121",Retirement Living,1,1,,False,,,"Priced from $270,000*","{'phone': '0478668149', 'address': 'Explore 3 properties in Epping Manor'}"
"38/43-45 Kent Street, Epping, NSW 2121",Retirement Living,1,1,,False,,,"Priced from $290,000*","{'phone': '0478668149', 'address': 'Explore 3 properties in Epping Manor'}"
"218/2-8 Hazlewood Pl, Epping, NSW 2121",Apartment,2,2,1,False,,,Under Contract,"{'name': 'Evelyn Rong', 'reviews': '(No reviews yet)', 'phone': '0450786981', 'address': 'Suite 1,Level 1,132-134 Burwood Road, BURWOOD, NSW 2134'}"
"12/713-715 Blaxland Road, Epping, NSW 2121",Unit,2,1,1,True,Saturday 22 June,11:00 am,AUCTION (if not sold prior),"{'name': 'David Cale', 'rating': '5.0', 'reviews': '(24 reviews)', 'phone': '0419827588', 'address': '8/74 Rawson Street, EPPING, NSW 2121'}"
"1103/35 Oxford Street, Epping, NSW 2121",Apartment,1,1,1,True,Wednesday 12 June,6:30 pm,Auction (if not sold prior),"{'name': 'Jimmy Kang', 'rating': '5.0', 'reviews': '(10 reviews)', 'phone': '0452424911', 'address': 'Ground Floor, 51 Rawson Street, EPPING, NSW 2121'}"
"4/23-25 Forest Grove, Epping, NSW 2121",Unit,2,2,1,False,,,Contact Agent,"{'name': 'Ryan Adderley', 'reviews': '(No reviews yet)', 'phone': '0401541021', 'address': 'New South Head Road, DOUBLE BAY, NSW 2028'}"
"318/18-20 Epping Park Drive, Epping, NSW 2121",Apartment,2,2,1,False,,,Contact Agent,"{'name': 'Jenny (Qi) Zhang', 'rating': '5.0', 'reviews': '(69 reviews)', 'phone': '0425558882', 'address': 'Shop 3&4, 821 Pennant Hills Road, CARLINGFORD, NSW 2118'}"
"202/3 Hazlewood Place, Epping, NSW 2121",Apartment,1,1,1,False,,,For Sale $530k - $550k,"{'name': 'Cayla Yeoh', 'rating': '5.0', 'reviews': '(9 reviews)', 'phone': '0492228889', 'address': 'Ground Floor, 51 Rawson Street, EPPING, NSW 2121'}"
"521/18 Epping Park Drive, Epping, NSW 2121",Apartment,2,2,2,False,,,"$780,000-$830,000","{'name': 'Allison Mifsud', 'rating': '5.0', 'reviews': '(63 reviews)', 'phone': '0405138408', 'address': '1, 41 Rawson Street, EPPING, NSW 2121'}"
"26 Surrey Street, Epping, NSW 2121",House,4,3,2,True,Thursday 6 June,6:30 pm,Auction 06/06/24 at 6:30pm On Site,"{'name': 'Allison Mifsud', 'rating': '5.0', 'reviews': '(63 reviews)', 'phone': '0405138408', 'address': '1, 41 Rawson Street, EPPING, NSW 2121'}"
"24C Dorset Street, Epping, NSW 2121",Residential Land,,,,False,,,Under negotiation,"{'name': 'Betty Ockerlander', 'rating': '4.9', 'reviews': '(89 reviews)', 'phone': '0408505080', 'address': 'Ground Floor, 3 Carlingford Road, EPPING, NSW 2121'}"
"28 - 30 Cliff Road, Epping, NSW 2121",Apartment,2,2,1,False,,,Limited Brand New Apartments - Final Opportunity,"{'reviews': '(No reviews yet)', 'phone': '0451369188', 'address': 'Suite 312, 480 Pacific Highway, ST LEONARDS, NSW 2065'}"
"308/26 Cambridge Street, Epping, NSW 2121",Apartment,2,2,1,False,,,Just Listed!,"{'name': 'Kris Yu', 'rating': '5.0', 'reviews': '(89 reviews)', 'phone': '0466713288', 'address': '15 Bridge Street, EPPING, NSW 2121'}"
"9 Raymond Place, Epping, NSW 2121",House,5,3,3,True,Saturday 29 June,11:30 am,Auction unless sold prior,"{'name': 'BOWEN ZHENG', 'reviews': '(No reviews yet)', 'phone': '0425896898', 'address': '2607 / 393 Pitt St, SYDNEY, NSW 2000'}"
"182/29-31 Cliff Road, Epping, NSW 2121",Apartment,2,2,1,False,,,Expression of Interest,"{'name': 'Nancy Yang', 'rating': '5.0', 'reviews': '(53 reviews)', 'phone': '0412820398', 'address': '2/6-8 Old Castle Hill Road, CASTLE HILL, NSW 2154'}"
"7/32 Essex Street, Epping, NSW 2121",Apartment,2,2,1,False,,,"For Sale $820,000","{'name': 'David Middleton', 'rating': '5.0', 'reviews': '(23 reviews)', 'phone': '0422729058', 'address': 'Ground Floor, 3 Carlingford Road, EPPING, NSW 2121'}"
"G03/24 Carlingford road, Epping, NSW 2121",Apartment,3,2,1,False,,,Price Guide: 1.03m-1.05m,"{'name': 'Cooper WANG', 'rating': '5.0', 'reviews': '(3 reviews)', 'phone': '0403738618', 'address': 'level 9, 123 Epping Road, MACQUARIE PARK, NSW 2113'}"
"19/3-5 Kandy Avenue, Epping, NSW 2121",Apartment,2,1,1,False,,,Under Offer,"{'name': 'Stephen Jackson', 'reviews': '(No reviews yet)', 'phone': '0417211330', 'address': '5 Church Street, RYDE, NSW 2112'}"
"1808/8 Chambers Court, Epping, NSW 2121",Apartment,3,2,2,False,,,Langston Lux-3 Bedroom with Panoramic City View,"{'name': 'Bruce - Li Tan', 'rating': '5.0', 'reviews': '(24 reviews)', 'phone': '0478886675', 'address': 'Shop 14/101 Waterloo Road, MACQUARIE PARK, NSW 2113'}"
"2004/26 Cambridge Street, Epping, NSW 2121",Studio,1,1,,False,,,"For Sale | $550,000 - $600,000","{'name': 'Kevin Wong', 'rating': '5.0', 'reviews': '(32 reviews)', 'phone': '0423823477', 'address': 'Ground Floor, 51 Rawson Street, EPPING, NSW 2121'}"
"902/38  Oxford Street, Epping, NSW 2121",Apartment,2,2,1,False,,,"$1,100,000","{'name': 'Hui (Jeffery) JIN', 'reviews': '(No reviews yet)', 'phone': '0449880619', 'address': 'Suite 101, Level 1, 187 Thomas Street, HAYMARKET, NSW 2000'}"
"G02/3  Forest Grove, Epping, NSW 2121",Apartment,1,1,1,False,,,"Price Guide $550,000-$600,000","{'name': 'James Lesaguis', 'rating': '5.0', 'reviews': '(11 reviews)', 'phone': '0424799285', 'address': '848 King Georges Road, SOUTH HURSTVILLE, NSW 2221'}"
"Address available on request, Epping, NSW 2121",House,5,3,2,False,,,"Auction Guide $3,800,000","{'name': 'Tim Cale', 'rating': '4.9', 'reviews': '(10 reviews)', 'phone': '0438827588', 'address': '8/74 Rawson Street, EPPING, NSW 2121'}"
"101 Essex Street, Epping, NSW 2121",House,4,3,4,False,,,For Sale Contact Agent,"{'name': 'Allison Mifsud', 'rating': '5.0', 'reviews': '(63 reviews)', 'phone': '0405138408', 'address': '1, 41 Rawson Street, EPPING, NSW 2121'}"
"2005/22 Cambridge Street, Epping, NSW 2121",Apartment,3,2,2,True,Saturday 29 June,3:00 pm,Auction Guide $1.3 MIL UNLESS SOLD PRIOR,"{'name': 'Inab Khan', 'rating': '5.0', 'reviews': '(3 reviews)', 'phone': '0433944266', 'address': 'Shop 14/101 Waterloo Road, MACQUARIE PARK, NSW 2113'}"
"581/29-31 Cliff Road, Epping, NSW 2121",Apartment,2,2,2,False,,,"Price Range $860,000 to $880,000","{'name': 'Yinzhi (Terry) HU', 'reviews': '(No reviews yet)', 'phone': '0411372098', 'address': 'Suite 101, Level 1, 187 Thomas Street, HAYMARKET, NSW 2000'}"
"207A Midson Road, Epping, NSW 2121",House,4,4,2,True,Saturday 29 June,2:00 pm,Auction 29th June 2 PM Onsite,"{'name': 'Tian Hong', 'rating': '4.9', 'reviews': '(72 reviews)', 'phone': '0451977781', 'address': 'Ground Floor, 51 Rawson Street, EPPING, NSW 2121'}"
"87 Oxford Street, Epping, NSW 2121",House,4,2,2,True,Saturday 22 June,1:30 pm,"Price Guide $2,500,000","{'name': 'Teena Vaughan', 'rating': '5.0', 'reviews': '(148 reviews)', 'phone': '0424166252', 'address': 'Ground Floor, 3 Carlingford Road, EPPING, NSW 2121'}"
"2A Haywood Street, Epping, NSW 2121",House,5,3,4,False,,,"Guide $3,900,000","{'name': 'Thomas Perram', 'rating': '5.0', 'reviews': '(86 reviews)', 'phone': '0279062925', 'address': '19 Sorrell Street, PARRAMATTA, NSW 2150'}"
